"Service","Lambda($)","Tax($)","EC2-Instances($)","Support (Business)($)","S3($)","CloudWatch($)","WAF($)","Elastic Load Balancing($)","VPC($)","EC2-Other($)","SES($)","X-Ray($)","CloudFront($)","SQS($)","Standup & Prosper($)","Step Functions($)","Amplify($)","Route 53($)","Secrets Manager($)","DynamoDB($)","Cost Explorer($)","EC2 Container Registry (ECR)($)","IoT($)","API Gateway($)","SNS($)","CodePipeline($)","Key Management Service($)","CloudFormation($)","Service Catalog($)","Glue($)","Total costs($)"
"Service total","418.4130482767","186.85","135.5651172966","100","95.3126075603","73.6862155048","61.9758869225","39.8174347257","26.076313905","21.1763024885","17.2491481388","17.207045","9.8201282071","9.7366243959","7.15","3.5775146578","3.1754544706","2.7076844","1.1919404648","0.8175802786","0.4411448172","0.1185040224","0.001788508","0.0001235276","0.0000423353","0","0","0","0","0","1232.0676499042"
"2024-08-01","0.4038106004","186.85","2.896","100","2.869074227","0.7340460244","1.4396470368","1.1888575121","0.84083056","0.5195791048","0.4853133846","0","0.0355098839","0.077876","","0","0.0141873497","2.017254","0.0387096768","0.0088873475","0.013716129","0.0038227104","0.000082276","","0","","","","","","300.4372038234"
"2024-08-02","0.3161396226","","2.9856","","2.8167288124","0.6431257519","1.4031922368","1.1924549666","0.84","0.4739359503","0.5443116154","","0.0840804558","0.1287644","","0.050502","0.0072029585","0.017194","0.0387096768","0.0073668229","0.0126664516","0.0038227104","0.000094588","","0","0","0","","","","11.56589302"
"2024-08-03","0.4573225856","","2.9856","","2.9275013812","0.6712668516","1.4151544368","1.2009969661","0.84","0.617162373","0.4845604901","","0.133401293","0.1073856","","0.122265","0.0064941739","0.0155132","0.0387096768","0.0112276872","0.0138693548","0.0038227104","","","","","0","","","","12.0522537805"
"2024-08-04","0.34218022","","2.9856","","2.8648479684","0.5894933449","1.3696042368","1.1943426145","0.84","0.5244673379","0.4845953566","","0.0956701915","0.0888496","","0.1250865","0.0027582445","0.0131988","0.0387096768","0.0091684427","0.0137503226","0.0038227104","","","0","","","","","","11.5861455676"
"2024-08-05","0.3607773171","","2.9856","","2.8677293395","0.6810430075","1.4102182368","1.1915477793","0.84","0.5185926701","0.4843853566","","0.0886551263","0.0886032","","0.204516","0.0066947147","0.0161928","0.0370967736","0.0093870236","0.0135554839","0.0038227104","","","0","","","","","","11.8084175394"
"2024-08-06","0.3309851189","","2.9856","","2.809654898","0.6215665919","1.3856416368","1.19066017","0.84","0.5011460197","0.4851984837","","0.0883968472","0.099798","","0.16758","0.1661527964","0.0136224","0.0387096768","0.0071838189","0.0136022581","0.0038227104","0.000062712","","0","","","","","","11.7493841388"
"2024-08-07","0.5287070027","","2.9856","","2.8837621492","1.1480030008","1.4423554368","1.2102860184","0.84","0.5953027623","0.4886909635","","0.1644532915","0.156516","","0.1099245","0.0077691231","0.0169712","0.0387096768","0.0104042544","0.0138670968","0.0038227104","0.000082324","","","","","","","","12.6452275107"
"2024-08-08","0.4260898857","","2.9856","","2.8909264321","1.2828820424","1.4564374368","1.2003205503","0.84","0.5592535516","0.9097619816","","0.2296069766","0.1184104","","0.1593435","0.2377994603","0.0260396","0.0370967736","0.03065784","0.0134464516","0.0038227104","0.000065472","","0","0","0","0","","","13.407561065"
"2024-08-09","0.4658234726","","2.9856","","2.8897486157","1.2163537647","1.4333524368","1.2019982753","0.84","0.5624377188","0.6883954128","","0.1885162619","0.146178","","0.10887","0.4277592385","0.0292404","0.0387096768","0.0285910065","0.0137767742","0.0038227104","0.00009738","","0","0","0","0","","","13.269271145"
"2024-08-10","0.6517098219","","2.9856","","2.9679850976","1.1590032939","1.4105728368","1.2081974504","0.84","0.6254722117","0.5644466377","","0.1753087563","0.166298","","0.1191585","0.0736101944","0.027604","0.0387096768","0.0305945881","0.0137025806","0.0038227104","","","0","","0","0","","","13.0617963566"
"2024-08-11","2.610603432","","3.0422451056","","2.9090385733","1.2574465571","1.4398558368","1.2323200297","0.840075005","0.6122473518","0.4872287794","0","0.2661835129","0.409416","","0.122607","0.004873234","0.0229388","0.0387096768","0.0090441911","0.0139090323","0.0038227104","0.000028396","","0.0000000152","0","0","","0","","15.3225932394"
"2024-08-12","4.0750551796","","3.2256","","2.9867114078","1.9288114058","1.5347644368","1.2525269662","0.841695835","0.6698001355","0.6127512125","0","0.3515805","0.550702","","0.116394","0.0874000706","0.0207496","0.0387096768","0.0121116513","0.0139703226","0.0038227104","0.000096424","","0","","","","","","18.3232535349"
"2024-08-13","8.5023908387","","3.2256","","3.1073453687","2.7598588846","1.6441810368","1.3160046204","0.84212639","0.8352726579","0.6046557733","0","0.5467199214","0.814554","","0.114798","0.14575052","0.0232016","0.0387096768","0.0755206878","0.0138716129","0.0038227104","0.000062032","","0","0","0","0","","","24.6144463317"
"2024-08-14","9.9496304253","","3.2256","","2.9848827211","3.1850161685","1.7524504368","1.3704894676","0.84","0.8624980245","0.6130010914","0.243245","0.6645347255","1.1533948","","0.1128885","0.2524214632","0.021942","0.0387096768","0.0312523163","0.0141090323","0.0038227104","0.000100184","","0","","0","0","","","27.3199887437"
"2024-08-15","6.2546102068","","3.2256","","3.1753955831","2.667779373","1.6354750368","1.3040711535","0.84","0.7598504068","0.5860856649","0.179135","0.5694481458","0.7162288","","0.115653","0.1284030981","0.0215664","0.0387096768","0.0361070179","0.0144070968","0.0038227104","0.000003848","","0","","0","0","","","22.2723522187"
"2024-08-16","7.3896625651","","3.2256","","3.4283141766","3.2722059026","1.8007924368","1.3533412039","0.85012361","0.8808655338","0.4845512125","0.219495","0.7124011229","0.8864804","","0.1140855","0.0674005994","0.0244268","0.0387096768","0.0234846582","0.0138890323","0.0038227104","0.00007304","","","","","","","","24.7897251813"
"2024-08-17","4.058557006","","3.43616","","3.290829802","2.460926421","1.6015906368","1.2842489975","0.840827785","0.7244972607","0.5360014522","0.120105","0.4574202082","0.5058244","","0.121239","0.0711860518","0.0221172","0.0387096768","0.0392356652","0.0142609677","0.0038227104","","","0","","0","0","","","19.6275602413"
"2024-08-18","3.5364326711","","3.7632","","3.2752247707","2.0679918619","1.4992060368","1.2443242653","0.84","0.6562030695","0.4845514516","0.099345","0.3695053406","0.3089948","","0.120213","0.0045690301","0.0189984","0.0387096768","0.0184364772","0.0145380645","0.0038227104","0.000039344","","","","","","","","18.3643059705"
"2024-08-19","187.3922513371","","3.7632","","3.0941637273","4.1796173612","1.8540694368","1.8586468911","0.84","1.3243788152","0.4845512125","0.305605","0.3480250416","0.8167028","","0.090858","0.2678907609","0.02489","0.0387096768","0.0545033255","0.0142825806","0.0038227104","0.000071604","","0","","0","0","","","206.756240281"
"2024-08-20","160.2872564587","0","3.7632","","3.0307861428","6.9089088962","5.7432914561","1.7494135486","0.84","1.1449480497","0.5617347161","0.23057","0.2259584641","0.5879896","0.55","0.0839895","0.3096436893","0.0268484","0.0387146768","0.0725248078","0.0143087097","0.0038227104","0.00007524","","0","","0","0","","","186.1739850663"
"2024-08-21","0.997212277","","3.7632","","2.9856581551","2.8513683219","2.2221546152","1.1981770194","0.84","0.518118788","0.5448148533","0.456715","0.2145976373","0.0865966123","0.6","0.10887","0.1307589032","0.0185328","0.0387096768","0.0306139573","0.0146764516","0.0038227104","0.00008342","","0","","0","0","","0","17.6246811988"
"2024-08-22","1.4318810478","","3.7953955456","","3.1318161084","2.9554407971","2.5178408152","1.23063609","0.84","0.6203300038","0.5194766742","1.47171","0.4075820059","0.0959632","0.6","0.1116345","0.4199190549","0.0242532","0.0370967736","0.0549081988","0.0149074194","0.0038227104","0.00010742","","0","0","0","0","","","20.2847215651"
"2024-08-23","1.4721549446","","4.9840575711","","3.2598317338","3.0307841305","2.5452908152","1.2408382199","0.84","0.6375402329","0.5853543152","1.583015","0.4514344915","0.0951344","0.6","0.111606","0.0077825853","0.0278268","0.0387096768","0.0193258098","0.0142345161","0.0038227104","0.000079788","","","","","","","","21.5488237411"
"2024-08-24","1.494357411","","7.4812725875","","3.2288580298","2.8670770287","2.4506040152","1.2604494776","0.84","0.6594501987","0.546322279","1.516215","0.4050517689","0.0979412","0.6","0.1211535","0.0061561538","0.0236232","0.0387096768","0.0186065632","0.0142712903","0.0038227104","","","0.0000002994","","","","","","23.6739423903"
"2024-08-25","2.2613698106","","7.5396799865","","3.2188262337","2.9510585795","2.4577082152","1.2895979201","0.84084028","0.6903525154","0.4848314899","1.70003","0.4573447773","0.1918144","0.6","0.124944","0.0060283187","0.0214536","0.0370967736","0.0181579982","0.015086129","0.0038227104","","","0.0000002994","","","","","","24.9100440375"
"2024-08-26","2.359876027","","7.5448892298","","3.3110039814","3.2370804755","2.4993100152","1.2886051479","0.851791665","0.6895542094","0.4845588658","1.615525","0.4063459003","0.2148594553","0.6","0.125343","0.0698032973","0.0238504","0.0387096768","0.0406314531","0.0145477419","0.0038227104","0.000007772","","0.0000176866","0","0","0","","","25.4201337107"
"2024-08-27","2.6983390121","","7.5712826986","","3.3278421568","3.4851905291","2.5860482152","1.2987798443","0.84","0.7051999362","0.4874609321","1.703045","0.4305231934","0.2570544","0.6","0.1218945","0.0686363625","0.0266828","0.0387096768","0.0401508959","0.0151270968","0.0038227104","0.000110012","","0.0000134755","","0","0","","","26.3059134477"
"2024-08-28","1.632639804","","7.3935858114","","3.3524211682","3.2389075216","2.5251612152","1.2562824182","0.84","0.694459368","0.6651826796","1.405285","0.3389272675","0.1478247283","0.6","0.1196145","0.0088535789","0.0281092","0.0370967736","0.021426606","0.0149467742","0.0038227104","0.000071972","","0.0000003957","","","","","","24.3246194928"
"2024-08-29","2.3088433734","","7.3822955658","","3.3507983663","3.5739901828","2.6568694152","1.2880880177","0.8471375","0.7423748356","0.5872557068","1.700285","0.37983745","0.2098368","0.6","0.120156","0.0090284117","0.0277776","0.0387096768","0.022126304","0.0148929032","0.0038227104","0.000074776","","","","","","","","25.8642005957"
"2024-08-30","1.8747846427","","6.8713402783","","3.1048788598","3.311425796","2.5766162152","1.2767248358","0.840865275","0.6771204186","0.711269763","1.53332","0.312285298","0.2142332","0.6","0.108471","0.0056294831","0.0363664","0.0387096768","0.0152327277","0.0152758065","0.0038227104","0.000090832","","0.000000619","","","","","","24.1284638379"
"2024-08-31","1.5415941586","","7.5757129164","","2.9700215725","2.7485456362","2.2664306152","1.244206288","0.84","0.5738909763","0.5578483309","1.1244","0.22082235","0.1963992","0.6","0.1238561578","0.1528915498","0.0286988","0.0387096768","0.0107101345","0.0156793333","0.0038227104","0.000127652","0.0001235276","0.0000095445","0","0","0","","","22.8345011308"